명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
부바스(본점),42187,,,대구광역시 수성구 무학로 152(두산동),35.8299556214,128.6252056122,"부바스는 대구시 수성구 두산동에 자리 잡고 있다. 대표 메뉴는 '마약 옥수수'란 별칭을 지닌 부바콘이다. 이 밖에 에그 베네딕트, 머쉬룸러버 피자, 마르게리타 피자. 와일드블고기브레드, 큐브라테, 더치 등을 판다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기에 좋고, 예약도 가능하다.",053-768-5900,,,있음,0,,"평일 10:00 - 22:00 / 금,토,일 10:00 - 23:00",없음,부바콘,"에그베네딕트, 머쉬룸러버 피자, 마르게리타 피자. 와일드블고기브레드, 큐브라떼, 더치 등",,,없음,,,,20170174020
무화커피,42021,,,대구광역시 수성구 국채보상로186길 81(범어동) 2층,35.8647574058,128.6342649565,"무화커피는 대구시 수성구 범어동에 자리 잡고 있다. 대구 도심을 조망할 수 있는 루프탑 카페로 유명하다. 대표 메뉴는 프랑스산 버터와 밀가루로 만든 크루아상, 생지를 이용하여 풍미가 좋은 크로플이다. 이 밖에 크루아상, 타르트 종류, 미니크림 나폴리타나, 메이플피칸 데니쉬, 아메리카노, 카페라테, 모카라테 등을 판다.",010-5705-9188,,,있음,0,,10:30 - 24:00,"추석,설 당일",크로플,"크로와상, 타르트 종류, 미니크림 나폴리타나, 메이플피칸 데니쉬, 아메리카노, 카페라떼, 모카라떼",,,없음,,,,20200175669
태능집,41920,,,대구광역시 중구 달성로22길 86(수창동),35.8743998825,128.5867605389,"태능집은 대구시 중구 수창동에 자리했다. SBS 예능 프로그램 백종원의 3대 천왕, SBS 시사 교양 프로그램 생방송 투데이 등에 소개된 맛집이다. 대표 메뉴는 간장으로 양념한 고기를 석쇠에 올려 연탄불에 구운 돼지불고기이고 이 밖에 우동이 있다. 파라솔 테이블에 플라스틱 의자가 포장마차를 연상케 하며 깍두기를 포함한 추가 반찬은 셀프 이용이 가능하며 포장도 된다. 태능집은 대구 지하철 3호선 달성공원 역에서 가까운 거리에 위치했다.",053-252-1817,,,,0,,16:30 - 03:30,비정기 휴무,돼지불고기,우동,,,가능,가능,,"화장실:가능
",20160158754
씨레기국수,42447,,053-471-4555,대구광역시 남구 봉덕남로 59(봉덕동),35.8425869374,128.5933136248,대구 남구 봉덕동에 위치한 시래기국밥과 시래기국수 맛집이다. 시래기는 무우의 윗부분이나 배추겉면의 못쓰는 부분을 말린 것인데 구수한 맛이 일품이고 겨울철 모자라기 쉽상인 비타민과 미네랄 식이섬유가 풍부해서 건강에 좋다. 겨울철 맛집으로 씨레기국수를 추천한다. <br>,,,,,0,,매일 11:00 ~ 17:00,매주 일요일,"씨레기국수, 씨레기국밥",,,,없음,,,,
군산집,39062,,,대구광역시 군위군 창평길 19,36.0996285750,128.6648723359,"군산집은 경북 군위군 부계면에 있다. 간자미 요리를 잘하기로 유명해 많은 사람이 방문한다. 
대표 메뉴는 간재미 무침이며, 간재미 비빔밥, 간재미 비빔국수, 돼지찌개, 황태된장찌개 등도 판다. 간재미 무침은 포장이 가능하다. 
동군위IC와 가깝고, 인근에 군위오펠GC과 팔공산도립공원이 있다.",054-382-5677,,,있음 / 주차요금 무료,0,,10:30~21:00,화요일,간재미 무침,"간재미 비빔밥, 간재미 비빔국수, 돼지찌개, 황태된장찌개",,,가능,가능,,,20160562019
군위참좋은한우직판장,39026,,,대구광역시 군위군 간동유원지길 5,36.1787347470,128.5835883967,"군위참좋은한우직판장은 경북 군위군 효령면에 있다. 한우 가격이 저렴한 편이지만, 맛은 저렴하지 않고 훌륭해 많은 사람이 찾는다. 
대표 메뉴는 구이용 한우이며, 육회비빔밥, 불고기전골, 옛날국수 등을 판다. 
평일과 공휴일의 운영시간은 같지만, 마지막 주문은 평일 20시, 공휴일 19시 20분까지 받는다. 
군위IC와 가깝고, 인근에 캠핑장 등을 운영 중인 위천수변테마파크가 있다.",054-382-8260,,,있음 / 주차요금 무료,0,,10:30~21:00,없음,구이용 한우,"육회비빔밥, 불고기전골, 옛날국수 등",,,가능,,,"화장실:남녀 구분 내부
",20090562045
리틀맨리,39062,,,대구광역시 군위군 창평길 25-3,36.0991786371,128.6654500754,"리틀맨리는 경상북도 군위군 부계면에 있다. 여러 가지 도넛과 각종 음료를 파는 카페다.
대표 메뉴는 버터넛이며, 레드벨벳, 크림 브릘레, 누텔라, 에스프레소, 아인슈페너, 레몬에이드 등도 맛볼 수 있다.
내부에 단체석이 마련되어 있어 각종 모임을 가지기에 좋다.
동군위IC에서 가깝고, 주변에 군위오펠GC가 있다.",010-6663-8535,,,있음 / 주차요금 무료,0,,10:00~20:00,연중무휴,버터넛,"레드벨벳, 크림 브릘레, 누텔라, 에스프레소, 아인슈페너, 레몬에이드 등",,,가능,가능,,"화장실:남녀 구분 내부
",20210566054
신등갈비,39062,,,대구광역시 군위군 치산효령로 1414,36.1036808162,128.6607503636,"신등갈비는 경상북도 군위군 부계면에 있다. 등갈비를 주재료로 각종 요리를 내놓는 곳이다. 
대표 메뉴는 등갈비묵은지찜이다. 이 밖에 양념등갈비구이, 등갈비우거지감자탕, 등갈비묵은지감자탕, 매운등갈비구이 등을 맛볼 수 있다.
동군위IC에서 가깝고, 주변에 군위오펠GC, 장곡자연휴양림이 있다.",054-383-3789,,,있음 / 주차요금 무료,0,,10:30~20:30,화요일,등갈비묵은지찜,"양념등갈비구이, 등갈비우거지감자탕, 등갈비묵은지감자탕, 매운등갈비구이 등",,,가능,,,,20050562006
연화식당,39015,,,대구광역시 군위군 중앙6길 19-1,36.2409662474,128.5667020197,"연화식당은 경북 군위군 군위읍에 자리 잡고 있다. 옻닭 등 닭 요리로 유명해 연중 사람들의 발길이 모인다. 
대표 메뉴는 눈맞은옻닭이다. 겨울철 눈을 맞고 자란 옻나무를 재료로 쓴다고 해서 눈맞은옻닭이라 이름 붙여졌다. 이 밖에 능이백숙, 한방백숙, 닭볶음탕, 닭불고기, 부추전, 배추전 등을 판다.  
인근에 구니CC가 있어 라운딩 전후에 방문하기 좋다.",054-382-5767,,,있음 / 주차요금 무료,0,,10:00~20:30,월요일,눈맞은옻닭,"능이백숙, 한방백숙, 닭볶음탕, 닭불고기, 부추전, 배추전 등",,,가능,가능,,"화장실:남녀 구분 내부
",20150562037
우사랑한우마을,39010,,,대구광역시 군위군 도군로 2645,36.2460461630,128.5633466171,"우사랑한우마을은 경북 군위군 군위읍에 자리 잡고 있다. 
대표 메뉴는 구이용 한우이며, 뭉티기, 육회, 불고기전골, 육회비빔밥, 갈비탕, 선지우거지해장국 등 다양한 요리를 맛볼 수 있다. 
음식점 내부가 넓어 단체 모임을 하기 좋다. 
군위IC에서 가깝고, 인근에 구니CC와 엠스클럽 의성CC가 있다. 관광지로는 위천수변 테마파크가 있다.",054-382-2422,,,있음 / 주차요금 무료,0,,10:00~22:00,없음,구이용 한우,"뭉티기, 육회, 불고기전골, 육회비빔밥, 갈비탕, 선지우거지해장국 등",,,가능,,,"화장실:남녀 구분 내부
",20090562046
카페댐댐,39055,,,대구광역시 군위군 삼국유사로 438-16,36.1233061006,128.7954573601,"카페댐댐은 경상북도 군위군 삼국유사면 학성리에 있다. 군위댐을 조망하며 여러 가지 음료와 빵을 맛볼 수 있다.
대표 메뉴는 군위에서 재배한 자두로 만든 자두에이드다. 이 밖에 자두라테, 댐댐슈페너, 댐댐라테, 히비스커스유자에이드 등을 판다.
동군위IC와 신녕IC에서 가깝고, 인근에 일연공원, 장곡자연휴양림이 있다.
※ 반려동물 동반 가능(목줄, 배변봉투 지참)",010-2763-3039,,,있음 / 주차요금 무료,0,,"월~금 10:00~20:00, 토~일 10:00~21:00",연중무휴,자두에이드,"자두라테, 댐댐슈페너, 댐댐라테, 히비스커스유자에이드",,,가능,,,"화장실:남녀 구분 내부
",20210566037
카페스톤,39066,,,대구광역시 군위군 한티로 1525-6,36.0299191839,128.6307495338,"카페스톤은 경상북도 군위군 부계면 남산리에 있다. 자연과 어우러진 세련된 느낌의 외관과 내부가 시선을 붙든다.
대표 메뉴는 자체 개발한 블렌딩으로 만든 돌커피로 아메리카노의 일종이다. 이 밖에 짭조름한 크림을 얹은 돌소금을 비롯해 까까라테, 트리플에이드, 돌푸치노, 단풍라테 등을 맛볼 수 있다.
동군위IC에서 가깝고, 인근에 팔공산도립공원, 팔공산금화자연휴양림이 있다.
※ 반려동물 동반 가능(목줄, 배변봉투 지참)",010-9374-7092,,,있음 / 주차요금 무료,0,,11:00~21:00,수요일,돌커피,"돌소금, 까까라테, 트리플에이드, 돌푸치노, 단풍라테 등",,,가능,가능,,"화장실:남녀 구분 내부
",20190566030
카페우즈,39065,,,대구광역시 군위군 한티로 2036,36.0498951726,128.6564717016,"카페우즈는 경상북도 군위군 부계면에 있다. 
대표 메뉴는 아메리카노이며, 카페라테, 에스프레소, 카페모카, 카푸치노, 아인슈페너, 연유라테 등도 맛볼 수 있다.
주말과 공휴일 오후 2시부터 3시간 동안 12개월부터 13세까지는 입장할 수 없는 노키즈존으로 운영된다.
동군위IC에서 가깝고, 인근에 동산계곡이 있다.
※ 반려동물 동반 가능(목줄, 배변봉투 지참)",054-383-0889,,,있음 / 주차요금 무료,0,,11:00~21:00,매주 화요일,아메리카노,"카페라테, 에스프레소, 카페모카, 카푸치노, 아인슈페너, 연유라테 등",,,가능,가능,,"화장실:남녀 구분 내부
",20180566024
한밤황토집,39065,,,대구광역시 군위군 한밤8길 46-55,36.0643629142,128.6531521431,"한밤황토집은 경상북도 군위군 부계면 대율리 소재 한밤돌담마을에 있다. 닭과 오리를 활용한 백숙 요리가 별미다.
대표 메뉴는 황실닭백숙이다. 이 밖에 황실오리백숙, 오리반반세트, 오리생구이, 오리양념구이, 옻닭, 닭볶음탕, 해물파전 등을 판다.
동군위IC에서 가깝고, 인근에 군위삼존석굴, 동산계곡, 화본역이 있다.",010-4806-4781,,,있음 / 주차요금 무료,0,,11:00~21:00,화요일. 단 화요일이 공휴일일 경우 정상영업하고 다음날 휴무,황실닭백숙,"황실오리백숙, 오리반반세트, 오리생구이, 오리양념구이, 옻닭, 닭볶음탕, 해물파전 등",,,가능,가능,가능,"화장실:남녀 구분
",20140562035
앞산 큰골집,42488,,,대구광역시 남구 큰골길 35,35.8375983348,128.5781956503,"앞산 큰골집은 대구광역시 남구 대명동에 있다. 대표 메뉴는 캡사이신을 사용하지 않고 고춧가루와 과일로 맛을 낸 매콤한 등갈비찜이다. 하루 200인분 한정으로 매일 갈비를 끓여서 조리한다. 가마솥에 지은 밥과 국산 곤드레가 어우러진 가마솥 곤드레밥도 인기다. 이 밖에 메밀전, 강원도 옥수수 막걸리 등도 맛볼 수 있다. 외관과 인테리어가 깔끔하며, 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 대구 지하철 1호선 안지랑역과 파동IC에서 가깝다. 주변에는 앞산 해넘이 전망대, 앞산 카페거리, 안지랑 곱창거리가 있어 연계 여행에 나서기 쉽다.",053-626-0888,,,있음 / 주차요금 무료,0,,11:30~22:00 (브레이크 타임 15:30~17:30),전화문의,등갈비찜,"가마솥 곤드레밥, 메밀전, 강원도 옥수수 막걸리 등",,,가능,가능,,,20060166122
카페멜트,41521,,,대구광역시 북구 공항로 89,35.9000365704,128.6247981393,"카페멜트 대구광역시 북구 복현동에 있다. 모던한 느낌의 건물은 2019년 도시 미관을 아름답게 만든 공로를 인정받아 대구시로부터 건축 최우수상을 받았다. 차분하고 깔끔한 분위기를 연출하는 인테리어도 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 아메리카노, 에스프레소, 플랫 화이트, 피치 라임 에이드 등의 음료와 함께 크루아상 등 다양한 베이커리도 맛볼 수 있다. 불로IC에서 가깝고, 인근에 불로동 고분군, 대구 섬유박물관 등이 있어 연계 관광이 수월하다.",053-382-0888,,,있음 / 주차요금 무료,0,,10:30~23:00,연중무휴,아메리카노,"크로와상, 에스프레소, 플랫화이트, 피치 라임 에이드 등",,,가능,가능,,"화장실:남녀 구분
",20190169846
감나무집,42940,,,대구광역시 달성군 우록3길 73,35.7166964170,128.6367549604,"감나무집은 숲속에 위치한 닭, 오리 요리 전문점으로 바로 옆에 계곡이 있어 어린이들이 물놀이를 할 수 있다. 내실 뿐만 아니라 외부에도 좌석이 마련돼 있어 캠핑장에 온 듯한 느낌을 즐길 수 있지만 여름에는 모기가 있다는 단점이 있다. 단체 8인 이상이 아닐 경우에는 자리 예약을 할 수 없다. 대표 메뉴는 촌닭 능이 한방백숙인데, 시간이 많이 걸리니 미리 전화로 주문하는 것이 좋다. 
파동 IC에서 가깝고, 인근에 워터파크 스파밸리, 아이우주교실이 있다.
※ 반려동물 동반 가능(목줄, 배변봉투 지참)",053-761-6666,,,있음 / 주차요금 무료,0,,11:00~22:00,연중무휴,촌닭 능이 한방백숙,"토종닭다리살 숯불구이, 유황오리 버섯불고기, 토종닭도리탕, 해물파전 등",,,가능,,예약 가능,"화장실:남녀구분
",19930188062
게이블루프커피,42917,,,대구광역시 달성군 강정본길 77,35.8423623562,128.4635722847,"게이블루프커피는 현대적인 느낌이 물씬 나는 외관과 모던한 분위기를 연출한 인테리어가 돋보이는 카페다. 내부에는 단체석이 마련되어 있어 각종 모임을 가지기 좋다. 반려동물은 3층 테라스에만 입장할 수 있다. 대표 메뉴는 아인슈페너다. 아몬드크림라떼, 아메리카노, 크림밀크티, 말차라떼, 자스민자몽 에이드 등도 맛볼 수 있다. 다사IC에서 가깝고, 인근에 강정보유원지, 강정보디아크광장과 계명대학교 성서캠퍼스가 있다.
※ 반려동물 동반 가능(목줄, 배변봉투 지참)",053-593-1968,,,있음 / 주차요금 무료,0,,09:30~23:00 (일요일-목요일) / 09:30~24:00(금요일-토요일),연중무휴,아인슈페너,"아몬드크림라떼, 아메리카노, 크림밀크티, 말차라떼, 자스민자몽 에이드 등",,,가능,가능,,"화장실:남녀구분
",20190189425
김태희옛날손국수,42977,,,대구광역시 달성군 옥포로 597,35.7467125301,128.4888004798,"김태희옛날손국수는 대구광역시 달성군 비슬산 자락에 있다. 예스러운 외관과 깔끔한 분위기의 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 가지기 좋다. 매일 아침 보존제나 면 강화제를 사용하지 않고, 오직 밀가루와 콩가루만을 배합해 숙성시킨 반죽으로 직접 면을 뽑아 사용한다. 대표 메뉴는 손칼국수이며, 얼큰해물칼국수, 칼제비, 들깨칼국수, 묵밥, 잔치국수, 수육 등도 맛볼 수 있다. 달성 IC에서 가깝고, 비슬살 둘레길 2구간이 있으며 인근에 국립대국과학관자연학습장, 테크노폴리스중앙공원이 있다.",053-616-0765,,,있음 / 주차요금 무료,0,,10:00~21:00,수요일,손칼국수,"얼큰해물칼국수, 칼제비, 들깨칼국수, 묵밥, 잔치국수, 수육 등",,,가능,가능,예약 가능,"화장실:남녀구분
",20200189734
카페공가,42939,,,대구광역시 달성군 주리1길 52-5,35.7579891481,128.6462585357,"카페공가는 대구광역시 달성군 가창면 주리에 있다. 카페에 들어서면 자연친화적인 분위기가 느껴진다. 널찍한 정원에 테이블이 마련되어 있고, 카페 안에 수심이 얕은 계곡이 있어 여름철이면 간단한 물놀이도 가능하다. 대표 메뉴는 아메리카노다. 이 밖에 카페라떼, 바닐라라떼, 멜랑스윗, 아인슈페너, 말차라떼 등도 맛볼 수 있고 베이커리도 마련되어 있다. 주차 공간이 넓어 편하다. 파동IC에서 가깝고, 인근에 워터파크 스파밸리가 있어 연계 여행하기 쉽다.
※ 반려동물 외부공간 목줄착용시 동반 가능",053-767-0910,,,있음 / 주차요금 무료,0,,11:00~20:00,화요일,아메리카노,"카페라떼, 바닐라라떼, 멜랑스윗, 아인슈페너, 말차라떼 등",,,가능,가능,,"화장실:남녀구분
",20010188118
노이식탁,42489,,,대구광역시 남구 대명남로 1881층,35.8353930360,128.5785623458,"노이식탁은 대구광역시 남구 대명동 소재 앞산카페거리에 있다. 대중교통을 이용한다면 지하철 인지랑 역 3번 출구와 가깝다. 전용 주차장이 없지만, 앞산카페거리 공영주차장을 이용할 수 있다. 대표 메뉴는 수비드 방식으로 조리한 삼겹살 스테이크에 매시드포테이토를 곁들인 노이 스테이크다. 통통한 새우가 들어간 고소한 새우 크림 파스타, 베이컨과 새송이버섯을 넣은 진하고 고소한 베이컨 크림 파스타도 인기다. 이 밖에 조개, 마늘, 바질 페스토로 맛을 낸 바질 봉골레 파스타, 베이컨, 토마토, 모차렐라가 어우러진 베이컨 치즈 토마토 파스타 등도 맛볼 수 있다. 인근에 앞산 해넘이 전망대와 먹자거리인 앞산맛둘레길과 안지랑 곱창거리가 있어 연계 여행에 나서기 쉽다.",070-4117-5252,,,없음,0,,11:30~22:00(라스트 오더 21:00),연중무휴,노이스테이크,"새우 크림 파스타, 베이컨 크림 파스타, 바질 봉골레 파스타, 베이컨 치즈 토마토 파스타 등",,,가능,,,,20110166160
호어모아,42495,,,대구광역시 남구 안지랑로5길 88,35.8331013880,128.5654885606,"호어모아는 대구광역시 남구 대명동, 앞산맛 둘레길에 있는 양식집이다.
주택을 개조해서 건물 외부는 가정집 같지만 깔끔하고 고급스러운 내부 인테리어가 눈에 띈다. 
호어모어는 하와이 말로 ‘요리하는 집이란 뜻이다. 식당 내부에는 단체석이 마련되어 있어 각종 모임을 가지기 좋다.
대표 메뉴는 새우와 꽃게 향이 가득한 해산물 로제이며, 고소한 크림소스에 매콤함을 더한 투움바 파스타, 새우와 마늘을 버터에 볶아 허브로 맛을 낸 버터갈릭 쉬림프도 인기다. 이 밖에 핫칠리 쉬림프, 하와이안 갈비 등을 맥주와 함께 즐길 수 있다.",053-653-0007,,,없음,0,,11:00~22:00 (브레이크 타임 16:00~17:00 / 라스트 오더 21:00),연중무휴,해산물 로제,"투움바 파스타, 버터갈릭 쉬림프, 핫칠리 쉬림프, 하와이안 갈비 등",,,가능,가능,,"화장실:남녀구분
",20170166291
벨베꼼메,42922,,,대구광역시 달성군 세천북로 66,35.8778807616,128.4747647589,"벨베꼼메는 덴마크 어로 맛있게 드시라는 의미이다. 대구광역시 달성군 다사읍 세천리에 있다. 현대적인 감각이 돋보이는 외관과 고급스러운 분위기를 연출하는 인테리어가 눈에 띈다. 메인 건물 옆에 별관이 있는데 그곳에는 높고 큰 책장 인테리어가 돋보인다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 대표 메뉴는 아메리카노다. 이 밖에 라떼, 이스라떼, 아인슈페너, 토마토 바질 에이드 등을 맛볼 수 있다. 베이글 샌드위치 등 여러 가지 빵도 판다. 북 다사IC에서 가깝고, 인근에 마천산산림욕장, 대한불교조계종 불은사가 있다.",053-581-1620,,,있음 / 주차요금 무료,0,,11:00~22:00(라스트 오더 21:30),연중무휴,아메리카노,"라떼, 이스라떼, 아인슈페너, 토마토 바질 에이드, 각종 디저트 등",,,가능,가능,,"화장실:남녀 구분
",20210189873
수수밀소,41058,,,대구광역시 동구 매여로 320,35.9068652470,128.7151094384,"수수밀소는 대구광역시 동구 상매동에 있는 베이커리 & 브런치 카페다. 주차장이 넓고, 실내/외 인테리어가 돋보인다. 대표 메뉴는 싱글 원두로 만드는 필터 커피지만 다양한 빵과 음료, 그리고 아보카도 그릭 토스트, 에그 베네딕트, 연어 크림치즈 타르틴도 맛있다. 고소한 아몬드 우유, 에스프레소, 수수라떼도 많이 찾는다, 주차장이 넓고 매장 안에서 바라보는 바깥 경치도 시원하다.
둔산IC에서 가깝고, 인근에 옻골마을, 팔공산왕건길 6코스와 7코스가 있어 연계 여행에 나서기 좋다.",053-965-4595,,,있음 / 주차요금 무료,0,,10:30~20:00 (라스트 오더 19:30),월요일,필터커피,"수수라떼, 카페라떼, 히비스커스 레몬, 라임 스파클링 등",,,가능,가능,,"화장실:남녀 구분
",20200162250
더 디퍼,41921,,,대구광역시 중구 서성로 67,35.8726056458,128.5870133442,"더 디퍼는 대구광역시 중구 서성로 1가에 있다. 모던한 느낌의 외관과 고급스러운 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 무엇보다 다양한 포토존이 마련되어 있고, 반려동물과 함께 입장할 수 있다는 게 가장 큰 특징이다. 대표 메뉴는 아메리카노다. 이 밖에 북성로커피, 아미노커피, 카페라떼, 바날리라떼, 아인슈페너 등을 맛볼 수 있다. 대구 지하철 3호선 서문시장역과 북대구 IC에서 가깝다. 인근에는 청라언덕, 약전골목, 대구근대역사관 등이 있어 연계 여행에 나서기 좋다.
※ 반려동물 동반 가능(목줄, 배변 봉투 지참)",053-522-9951,,,있음 / 주차요금 없음,0,,10:00~22:00,연중무휴,아메리카노,"북성로커피, 아미노커피, 카페라떼, 바날리라떼, 아인슈페너 등",,,가능,가능,가능,"화장실:남녀 구분
",20200159226
라겟옴,42491,,,대구광역시 남구 앞산순환로87길 511층,35.8329071016,128.5728934691,"라겟옴은 대구광역시 남구 대명동에 있다. 노키즈존으로 운영되는 베이커리 카페다. 클래식한 느낌의 외관과 모던한 분위기를 연출하는 인테리어가 눈에 띈다. 대표 메뉴는 오늘의 커피다. 이 밖에 스폐셜티커피, 카푸치노, 라겟옴라떼, 비엔나, 로얄밀크티 등을 맛볼 수 있다. 매장에서 매일 굽는 각종 베이커리도 판다. 대구 지하철 1호선 안지랑역과 파동IC에서 가깝다. 주변에는 앞산해넘이전망대와 먹자거리인 앞산맛둘레길과 안지랑곱창거리가 있다.",053-628-8877,,,없음,0,,12:00~21:00,"화요일, 수요일",오늘의 커피,"스폐셜티커피, 카푸치노, 라겟옴라떼, 비엔나, 로얄밀크티 등",,,가능,가능,,"화장실:남녀구분
",20170166135
스테이블모먼트,42759,,,대구광역시 달서구 조암남로32길 24,35.8188548730,128.5162682910,"스테이블모먼트는 대구광역시 달서구 대천동에 있다. 1층은 주차장과 이어지며 1층과 2층이 모두 카페인데, 1층은 우드톤이고 2층은 화이트 톤으로 꾸며 각 층의 느낌이 확연히 다르다. 공통적으로 고급스러운 분위기를 연출한 인테리어가 눈에 띈다. 내부에는 단체석이 있어 모임하기 좋다. 대표 메뉴는 싱글 오리진 에스프레소와 고급 우유가 만난 스테이블커피다. 이 밖에 아몬드크림라떼, 아메리카노, 크림라떼, 크림에스프레소 등을 맛볼 수 있다. 빵 종류가 다양하게 많아 선택의 폭이 넓고 브런치 메뉴를 선택할 수도 있다. 유천하이패스IC에서 가깝고, 인근에는 화원유원지, 월곡역사공원이 있다.",070-8805-6663,,,있음(무료),0,,매일 09:30~23:00 (라스트오더 22:30),연중무휴,스테이블커피,"아몬드크림라떼, 아메리카노, 크림라떼, 크림에스프레소 등",,,가능,가능,,"화장실:남녀구분
",20170182264
"엔엘리오카페, 베이커리, 레스토랑",42978,,,대구광역시 달성군 비슬로 1137,35.7335739489,128.4243481828,"엔엘리오카페, 베이커리, 레스토랑은 대구광역시 달성군 논공읍 남리에 있다. 해 질 녘 노을이 멋지다는 소문에 많은 사람이 찾는다. 내부에는 단체석이 마련되어 있어 각종 모임을 가지기 좋다. 대표 메뉴는 부드러운 카스테라 위에 생딸기와 생크림이 어우러진 생크림딸기케익이다. 카스테라 속에 초코 생크림을 넣은 초코생크림케익도 인기다. 이 밖에 생딸기타르트, 까망이, 카라멜마끼아또 등도 맛볼 수 있다. 온실과 원두막 형태의 야외테이블의 경우 반려견과 함께 즐길 수 있다. 야외테이블에 앉아있으면 달성보가 보인다. 북현풍(하이패스)IC에서 가깝고, 인근에 달성노을공원, 세계문화유산 도동서원이 있어 둘러보기 좋다.",053-616-7293,,,있음(무료),0,,"10:00~22:00 (라스트오더 21:00),  레스토랑 11:00~21:00, 브레이크 타임 15:00~17:00 (라스트오더 20:00)",연중무휴,생크림딸기케익,"초코생크림케익, 생딸기타르트, 까망이, 카라멜마끼아또 등",,,가능,가능,가능 (레스토랑),"화장실:남녀구분
",20200189746
레이틀리92,41070,,,대구광역시 동구 초례로 6,35.8756305871,128.7525153541,"레이틀리92는 대구광역시 동구 숙천동에 있다. 세련된 느낌의 외관과 고급스러운 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임에 적당하다. 무엇보다 4,000㎡ 규모의 대지 위에 나무가 가득 식재되어 있다는 점이 가장 큰 장점이다. 대표 메뉴는 베이컨과 알싸한 마늘이 올리브오일을 만난 레이틀리 에그볼 오일 파스타다. 푸짐한 버섯과 쫀득한 뇨끼가 어우러져 깊고 진한 맛을 내는 머쉬룸 크림 뇨끼, 통새우와 베이컨 등이 아낌없이 들어간 통새우 베이컨 필라프도 인기다. 이 밖에 유러피안 브런치 세트도 맛볼 수 있다. 브런치 메뉴의 경우 3시까지만 주문이 가능하다. 카페 내 IN BALI는 노키즈 존으로, 나머지 공간은 케어키즈존으로 운영하고 있다. 경산IC에서 가깝고, 인근에 금호강 안심습지, 반야월연꽃단지가 있다.",053-965-9290,,,있음(무료),0,,매일 10:00~22:00,연중무휴,레이틀리 에그볼 오일 파스타,"머쉬룸 크림 뇨끼, 유러피안 브런치 세트, 목살 큐브 스테이크, 통새우 베이컨 필라프 등",,,가능,,,"화장실:남녀구분
",20210161364
미소팔공한우,41000,,,대구광역시 동구 팔공산로 222,35.9953727470,128.6116355232,"미소팔공한우는 대구광역시 동구 덕곡동에 있다. 현대적인 외관과 깔끔한 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임에 적당하다. 대표 메뉴는 한우갈비살이다. 입구에서 고기를 구입해서, 상차림 비용을 추가해 구워 먹는 시스템이다. 이 밖에 한우꽃살, 한우살치살, 제비추리, 부채살, 안창살, 생삽겹살, 돼지갈비, 곰탕 등을 맛볼 수 있다. 한우가마솥 곰탕은 포장 판매도 한다. 외부에는 어린이를 위한 트램펄린과 수영장 등의 부대시설이 갖추어져 있다. 어른들을 위한 족구장도 마련되어 있다. 농림축산식품부가 인정한 안심식당이다. 파군재IC에서 가깝고, 인근에 팔공산도립공원, 대구동화사, 팔공산케이블카가 있어 연계 여행에 나서기 좋다.",053-985-3260,,,있음(무료),0,,매일 11:00~21:30,연중무휴,한우갈비살,"한우꽃살, 한우살치살, 제비추리, 부채살, 안창살, 생삽겹살, 돼지갈비 등",,,가능,가능,가능,"화장실:남녀구분
",19970160209
승정원한우,42162,,,대구광역시 수성구 들안로 73,35.8363769551,128.6164145407,"승정원한우는 대구광역시 수성구 상동에 있다. 고급스러운 외관과 깔끔한 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋고, 어린이 놀이방도 갖추고 있다. 대표 메뉴는 꽃등심이다. 이 밖에 안창살, 갈빗살, 수원식 양념 왕갈비, 살치살, 경상도 육회 등을 맛볼 수 있다. 점심 특선으로 준비한 동인동식 한우 찜갈비, 육회 비빔밥 정식, 소고기 찌개 정식도 인기 메뉴이며 점심 특선은 매일 정오부터 3시까지 주문할 수 있다. 파동IC에서 가깝고, 인근에 아르떼 수성랜드, 수성유원지가 있어 연계 관광에 나서기 수월하다.",053-761-0909,,,있음/주차요금 무료,0,,11:30~22:30,연중무휴,꽃등심,"안창살, 갈비살, 수원식 양념 왕갈비, 살치살, 경상도 육회 등",,,가능,가능,가능,"화장실:남녀 구분
",20050174044
