명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
이마트 만촌,42037,,,대구광역시 수성구 동원로 136 (만촌동),35.8712039531,128.6372172943,-,010-3813-3990,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품,기타 소매",,월~일요일,,10:00~23:00,"2,4주 일요일","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
아트박스 대구중앙,41937,,,대구광역시 중구 동성로 39,35.8705338128,128.5954015515,-,053-253-0097,,"기념품점,악세서리,향수 및 화장품",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
테그호이어,41581,,,대구 북구 태평로161,35.8759276605,128.5961541136,-,053-660-3111,,시계,,월~일요일,,10:30~20:00,"월1회, 명절","이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
한섬 팩토리아울렛 대구,42936,,,대구광역시 달성군 가창면 가창로 1003,35.7950734849,128.6267758872,-,010-6775-7116,,"기타 패션 및 의류,남성의류,신발,악세서리,여성의류",,월~일요일,,10:30~20:30,명절,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
롯데 대구봉무(시스템),41026,,,대구광역시 동구 팔공로49길 16,35.9215899181,128.6373908727,-,,,"가죽 제품 및 가방,기타 패션 및 의류,신발,여성의류",,금~수요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
리바이스 롯데아울렛 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16,35.9215899181,128.6373908727,-,053-945-2561,,남성의류,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
마이클코어스 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077 2층,35.8666702733,128.5906548560,-,053-245-2244,,"가죽 제품 및 가방,여성의류",,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
해지스,41581,,,대구 북구 태평로 161,35.8759276605,128.5961541136,-,053-660-3634,,남성의류,,월~일요일,,10:30~20:00,"월1회, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
시슬리 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16 이시아폴리스 1층,35.9215899181,128.6373908727,-,053-945-2586,,"가죽 제품 및 가방,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
세인트제임스 동성로,41943,,,"대구광역시 중구 동성로 10, 1,2층(동성로3가)",35.8668564291,128.5941906503,-,053-428-4628,,"기타 패션 및 의류,남성의류,아동의류,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
하이마트 만촌점,42037,,,대구광역시 수성구 화랑로 114,35.8729482416,128.6394531602,-,053-756-8710,,전자제품,,월~일요일,,10:30~20:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
에이케이골프 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 162층AK골프코너,35.9215899181,128.6373908727,-,,,"기타 패션 및 의류,스포츠 용품 및 의류,신발",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
대현 듀엘 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16이시아폴리스대현관,35.9215899181,128.6373908727,-,,,"기타 패션 및 의류,신발,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
골든듀 신세계대구,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-1814,,기타 소매,,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
톰보이 이시아폴리스,41026,,,"대구광역시 동구 팔공로49길 16, 1층",35.9215899181,128.6373908727,-,,,"가죽 제품 및 가방,기타 패션 및 의류,신발,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
ER 동아 강북,41438,,,대구광역시 북구 칠곡중앙대로 416,35.9330314345,128.5490400091,-,053-320-3300,,"가든 및 DIY,가죽 제품 및 가방,기념품점,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,향수 및 화장품,기타 소매",,월~일요일,,10:30~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
오일릴리 롯데아울렛 이시아폴리스점,41026,,,대구광역시 동구 팔공로49길 16,35.9215899181,128.6373908727,-,,,"가죽 제품 및 가방,기타 패션 및 의류,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
버버리 신세계 대구점,41243,,,대구광역시 동구 동부로30길 12,35.8762587778,128.6286151334,-,053-661-6447,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,신발,여성의류",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
오메가 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077 2층,35.8666702733,128.5906548560,-,053-245-2249,,"보석(장신구),시계",,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
오메가 신세계 대구점,41229,,,대구광역시 동구 동부로 149 1층,35.8779835934,128.6292150324,-,,,시계,,월~일요일,,11:00~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
발렌티노 신세계 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-6474,,"가죽 제품 및 가방,신발,여성의류",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
코스 신세계 대구잠,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-6432,,"란제리(속옷),신발,악세서리,여성의류",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
페레가모 신세계 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-6616-4655,,"가죽 제품 및 가방,신발,악세서리,향수 및 화장품",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
다이아미 신세계백화점 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-1817,,기타 소매,,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
빈폴 신세계 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-6596,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,신발",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
갤럭시라이프스타일 신세계 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-6226,,"기타 패션 및 의류,남성의류,신발",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
반클리프아펠 신세계 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-6494,,"보석(장신구),시계",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
모다아울렛 대구점,42714,,,대구광역시 달서구 달서대로 411,35.8358747119,128.4913950113,-,053-589-6000,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),신발,여성의류",,월~일요일,,11:00~21:00,,"이용환급창구 운영사업자 : KICC(이지택스리펀드), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
보테가베네타 신세계 대구점,41229,,,대구광역시 동구 동부로 149 5층,35.8779835934,128.6292150324,-,,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,여성의류",,월~일요일,,11:00~20:00,명절,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
프레드 신세계 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,,,악세서리,,월~일요일,,11:00~20:00,명절,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
에잇세컨즈 동성로2가점,41938,,,대구광역시 중구 동성로 34,35.8699088909,128.5957987562,-,010-2669-2444,,향수 및 화장품,,월~일요일,,10:30~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
ABC마트 대구동성로2가점,41938,,,대구광역시 중구 동성로 40,35.8703949477,128.5958376290,-,053-719-0171,,"기타 패션 및 의류,신발",,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
스페이스M 현대아울렛 대구점,41250,,,대구광역시 동구 동대구로 454,35.8707732498,128.6265710218,-,053-430-2127,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,신발,여성의류",,월~일요일,,10:30~21:00,명절,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
불가리 신세계 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-6498,,"시계,향수 및 화장품,기타 소매",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
디올 신세계 대구점,41229,,,대구광역시 동구 동부로 149 5층,35.8779835934,128.6292150324,-,,,"가죽 제품 및 가방,남성의류,시계,신발,여성의류",,월~일요일,,11:00~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
네스프레소 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077 2층,35.8666702733,128.5906548560,-,053-245-2246,,기타 소매,,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
EW 폴더 동성로삼덕,41942,,,"대구광역시 중구 동성로1길 15,1층",35.8670508606,128.5946739350,-,053-252-7716,,"가죽 제품 및 가방,스포츠 용품 및 의류,신발",,월~일요일,,10:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,완비,
토니모리 동성로,41937,,,"대구광역시 중구 동성로 3784-6,85-4",35.8701616347,128.5955071084,-,02-6226-2256,,향수 및 화장품,,월~일요일,,10:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
MUJI 신세계대구,41229,,,"대구광역시 동구 효신로 88, 6층 (신암동, 신세계백화점 대구 파미에타운)",35.8797195824,128.6332146318,-,053-661-1764,,"가구 및 홈데코,기타 패션 및 의류,남성의류,란제리(속옷),시계,신발,여성의류,전자제품,향수 및 화장품,기타 소매",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
LM대구성서(금강_레스모아),42714,,,대구광역시 달서구 달서대로85길 8,35.8374772998,128.4909200091,-,053-591-6960,,"신발,기타 소매",,월~일요일,,10:30~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,,
홈플러스스토어즈 동촌,41144,,,대구광역시 동구 동촌로 127 (검사동),35.8862164843,128.6556846933,-,053-945-2606,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),스포츠 용품 및 의류,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:00~23:00,월1회 일요일,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
아트박스 대구동성로,41941,,,대구광역시 중구 동성로5길 21 (삼덕동1가),35.8680452123,128.5957793654,-,053-253-3385,,"가죽 제품 및 가방,기념품점,기타 패션 및 의류,보석(장신구),식료품,악세서리,향수 및 화장품,기타 소매",,월~일요일,,11:00~22:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
올리브영 수성구청역,42088,,,대구광역시 수성구 달구벌대로 2518,35.8585470675,128.6380342420,-,053-741-1851,,향수 및 화장품,,월~일요일,,10:00~20:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
ER 슈펜 동성로,41938,,,대구광역시 중구 동성로 36,35.8701838606,128.5958431890,-,053-325-2683,,"가죽 제품 및 가방,신발",,월~일요일,,10:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
현대백화점 대구,41936,,,대구광역시 중구 달구벌대로 2077 (계산동2가) 현대백화점,35.8666702733,128.5906548560,-,,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:30~20:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
MUJI 롯데대구,41581,,,대구광역시 북구 태평로 161롯데백화점대구B2,35.8759276605,128.5961541136,-,053-660-2770,,"기타 패션 및 의류,남성의류,신발,여성의류",,월~일요일,,10:30~20:00,"월1회, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
루이비통 신세계대구,41229,,,대구광역시 동구 동부로 1495층,35.8779835934,128.6292150324,-,,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,신발,여성의류",,월~일요일,,11:00~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
올리브영 대구수성4가,42007,,,"대구광역시 수성구 달구벌대로 2297, 1층",35.8600742244,128.6137585591,-,053-752-5290,,"향수 및 화장품,기타 소매",,월~일요일,,10:00~22:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,,
ER 동아 수성,42198,,,대구광역시 수성구 지범로 191,35.8211152351,128.6403850769,-,053-780-2207,,"가구 및 홈데코,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
나이키 대구,41026,,,대구광역시 동구 팔공로49길 161층116~118호,35.9215899181,128.6373908727,-,053-945-2707,,신발,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
원더플레이스 대구동성로,41941,,,대구광역시 중구 동성로5길 25,35.8680452178,128.5960765614,-,053-716-2011,,기타 패션 및 의류,,월~일요일,,11:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,,
칼하트WIP 대구동성로,41942,,,대구광역시 중구 동성로1길 29-31(동성로3가),35.8678035633,128.5952377540,-,053-424-0922,,"남성의류,여성의류",,월~일요일,,12:00~21:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
쇼메 현대대구,41936,,,"대구광역시 중구 달구벌대로 2077, 1층",35.8666702733,128.5906548560,-,,,"보석(장신구),시계",,월~일요일,,10:30~20:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
올리브영 대구중앙로,41937,,,대구광역시 중구 중앙대로 388,35.8677229900,128.5937934388,-,053-2523-4428,,향수 및 화장품,,월~일요일,,10:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
유니클로 롯데봉무,41026,,,대구광역시 동구 팔공로49길 16,35.9215899181,128.6373908727,-,,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),신발,아동의류,악세서리,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
대구 안지랑시장,42487,안지랑시장 번영회,053-652-6569,대구광역시 남구 대명로36길 19,35.8383454491,128.5769235188,"안지랑 오거리에서 앞산 안지랑골로 통하는 길 중간에 형성된 안지랑시장은 화려한 명성을 뒤로하고 최근 양념 곱창집이 들어차 새로운 활력이 되고 있다. 79년경 안지랑시장 쪽에 충북식당을 시작으로 ’98년 IMF 이후 생계유지 업소 늘어나기 시작 오의 안지랑 시장을 활성화시켰고, 서민들이 부담 없이 즐길 수 있는 휴식처이자 최근엔 젊은 층이 주도하는 젊음의 거리로 발전하게 되었다. 또한 07년도부터는 상가 활성화를 위하여 간판 개·보수 및 손 씻는 시설 설치 및 영업장 환경개선하여 재래시장의 활성화에 더욱 힘을 쓰고 있다.",053-652-6569,,건어물 / 수산물 / 농산물 외,,,1971년,09:00 ~ 22:00,,"안지랑 시장은 안지랑 곱창 골목으로 유명하다. 현재는 시장으로써의 역활 뿐만 아니라 각지역 
관광객들이 곱창을 맛보기 위해 이곳 안지랑 곱창 골목을 찾는다. (시장 안 곱창 
식당 참고)",,,없음,없음,가능,,
