명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
로엠 대구동성로,41937,,,대구 중구 동성로 19,35.8687617830,128.5949433085,-,053-423-8080,,여성의류,,월~일요일,,10:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
아리따움 대구반월당중앙,41957,,,대구광역시 중구 달구벌대로 지하2100 (덕산동),35.8644705727,128.5933602338,-,053-427-5707,,향수 및 화장품,,월~일요일,,11:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
대구굿즈 대구,41918,,,대구 중구 서성로14길 69 1층,35.8730195695,128.5914434977,-,053-261-5585,,기념품점,,월~토요일,,8:00~23:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
제이케이샵 대구동성로,41943,,,대구광역시 중구 달구벌대로 2109-38 (동성로3가),35.8670369584,128.5938517859,-,053-424-1113,,"남성의류,신발,악세서리,여성의류",,월~일요일,,9:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
뉴모나코 대구동성로,41909,,,대구 중구 동성로 75-1,35.8736223576,128.5957014396,-,053-424-0174,,보석(장신구),,월~일요일,,9:00~24:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
수진주얼리 대구,41912,,,대구광역시 중구 동성로 70 (동성로1가),35.8730974225,128.5959930950,-,053-423-9152,,보석(장신구),,월~일요일,,8:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,,
창춘귀금속 대구,41910,,,대구광역시 중구 교동1길 13-8 (상덕동),35.8737918187,128.5976401528,-,053-423-6619,,보석(장신구),,월~일요일,,7:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
제니스 대구,41909,,,대구 중구 동성로 75,35.8735612533,128.5957042184,-,053-428-7400,,보석(장신구),,월~일요일,,8:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
JD스포츠 동성로중앙,41941,,,대구광역시 중구 동성로2길 49-9 (삼덕동1가),35.8682202013,128.5962376539,-,053-255-2809,,"남성의류,신발,악세서리,여성의류",,월~일요일,,11:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
올리브영 대구대백,41941,,,대구광역시 중구 동성로 22 (동성로2가),35.8687840074,128.5952293934,-,053-252-2539,,향수 및 화장품,,월~일요일,,11:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
올리브영 대구동성로,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-252-5295,,향수 및 화장품,,월~일요일,,12:00~23:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
올리브영 대구반월당,41957,,,대구광역시 중구 달구벌대로 지하2100 (덕산동),35.8644705727,128.5933602338,-,053-254-0994,,향수 및 화장품,,월~일요일,,12:00~23:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
반스 대구동성로,41942,,,대구 중구 동성로 8,35.8675730195,128.5944822711,-,053-423-0090,,"스포츠 용품 및 의류,신발",,월~일요일,,10:30~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
킴스애드안경 대구동성로,41942,,,대구광역시 중구 동성로 8-9 (동성로3가),35.8674591502,128.5948461304,-,053-256-4222,,안경,,월~일요일,,11:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
토니모리 동성로,41937,,,대구 중구 동성로 37,35.8701616347,128.5955071084,-,053-422-7144,,향수 및 화장품,,월~일요일,,12:00~23:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
푸마셀렉트 동성로,41941,,,대구광역시 중구 동성로2길 49-9 (삼덕동1가),35.8682202013,128.5962376539,-,053-426-3356,,"스포츠 용품 및 의류,신발",,월~일요일,,10:30~21:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
칼하트WIP 대구동성로,41943,,,대구광역시 중구 달구벌대로 2109-38 (동성로3가),35.8670369584,128.5938517859,-,010-2509-6574,,"남성의류,신발,여성의류",,월~일요일,,9:00~23:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
세니테뷰티샵,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-421-8817,,향수 및 화장품,,월~일요일,,10:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
에이스 대현프리몰대구,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-257-9687,,시계,,월~일요일,,11:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
룩스 대현프리몰대구,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-423-3826,,향수 및 화장품,,화~일요일,,9:00~21:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
도로시 대현프리몰대구,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-424-4898,,여성의류,,월~일요일,,8:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
데일리룩 대현프리몰대구,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-252-0177,,여성의류,,월~일요일,,5:00~23:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
보따리 대현프리몰대구,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-253-8601,,가죽 제품 및 가방,,월~일요일,,11:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
정일품 동성로,41912,,,대구 중구 동성로 72,35.8731835254,128.5960819735,-,053-356-6954,,보석(장신구),,월~일요일,,8:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
세컨페이스 동성로,41942,,,대구광역시 중구 동성로5길 44 (삼덕동1가),35.8675036271,128.5968820615,-,053-428-0222,,안경,,월~일요일,,10:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
마인드브릿지 동성로점,41942,,,대구광역시 중구 동성로 10-1 (동성로3가),35.8677924437,128.5947211330,-,053-257-8297,,"남성의류,여성의류",,월~일요일,,10:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
ARCTERYX,41909,,,대구 중구 경상감영길 132,35.8720919561,128.5946654625,-,053-421-1789,,스포츠 용품 및 의류,,월~일요일,,10:00~23:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
타임,41941,,,대구 중구 동성로3길 68 1층,35.8683313373,128.5982485847,-,010-9099-4924,,남성의류,,월~일요일,,12:00~21:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
다이나핏,41941,,,대구 중구 동성로6길 2-8,35.8687395707,128.5953738265,-,053-422-2202,,스포츠 용품 및 의류,,월~일요일,,11:00~23:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
글라스바바안경 동성로점,41938,,,대구광역시 중구 동성로 30 (동성로2가),35.8695228265,128.5959820841,-,053-423-9001,,안경,,월~일요일,,11:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
팍스뮤직,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-422-9105,,기타 소매,,월~일요일,,11:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
고려인삼직매장,41912,,,대구광역시 중구 경상감영길 225 (동문동),35.8717170929,128.5997761337,-,053-421-6262,,기타 소매,,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
다온주얼리,41909,,,대구 중구 동성로 63,35.8725558096,128.5955959227,-,053-000-0000,,보석(장신구),,월~일요일,,10:00~22:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
사계절,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-422-4720,,신발,,월~일요일,,10:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
명시당,41918,,,대구 중구 중앙대로 455,35.8737834259,128.5943737746,-,053-254-7542,,보석(장신구),,월~토요일,,7:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
서봉제화,41918,,,대구광역시 중구 서성로14길 91 (대안동),35.8731640203,128.5926683867,-,053-423-2984,,신발,,월~일요일,,8:00~22:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
썬쥬얼리,41909,,,대구 중구 동성로 63,35.8725558096,128.5955959227,-,053-254-8123,,보석(장신구),,월~일요일,,9:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
노스페이스 롯데율하,41097,,,대구광역시 동구 안심로 80,35.8684941880,128.6934207547,-,053-960-2664,,"가죽 제품 및 가방,스포츠 용품 및 의류,신발",,월~일요일,,10:00~23:00,월2회 일요일,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
유니클로 대구감삼,42642,,,대구광역시 달서구 달구벌대로 1640(감삼동),35.8529515550,128.5457453043,-,,,"기타 패션 및 의류,남성의류,란제리(속옷),신발,아동의류,여성의류",,월~일요일,,11:30~20:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
대구 칠성시장&별별상상 칠성야시장,41583,대구 칠성시장,053-423-3480,대구광역시 북구 칠성시장로 28,35.8765360847,128.6048061121,"서문시장과 함께 대구 재래시장의 양대 산맥이라 할 수 있는 칠성시장은 40여 년의 역사를 지니고 있다. 칠성시장은 독자성과 전문성을 가진 상가들이 모여 거대한 상권을 이룬다. 거대 상권은 6개 법인 상가와 나머지 비법인 상가로 나누어져 있으며 특히 청과물 시장으로 잘 알려져 있다. 칠성시장은 6개의 법인 상가는 저마다 독특한 영업영역을 가진다. 그 법인 상가 중 하나인 삼성시장은 과일, 원예, 중고 가전 제품상들이 모여있고, 대구 청과시장은 청과물을 취급하는 점포가 80여 개 입주해 있다. 나머지 법인 상가도 어패류, 육류, 과자류, 완구류 등 전문 상권을 형성하고 있다. 이렇게 품목별로 전문화된 칠성시장은 그 외에도 칠성시장 축제를 여는 등의 이벤트를 통해 재래시장 활성화에 총력을 기울이고 있다.",대구 북구 민생경제과 053-665-2651,,농수산물 / 어패류 / 육류 / 과자류 / 완구류 외,,,1974년,,,,,,없음,없음,없음,무,
대구 평화시장,41198,대구 평화시장,053-956-8413,대구광역시 동구 아양로9길 10,35.8830133956,128.6192713239,"평화시장은 1975년 개설된 장옥형의 소형시장이다. 30여 년 전부터 닭내장을 파는 상점들이 늘어나면서 똥집 튀김 골목을 자리 잡은 곳으로 똥집 골목으로 대구의 명물 중 하나이다. 닭똥집 골목의 시장은 1972년 삼아 통닭집으로 거슬러 올라간다. 닭만 팔다 보니 닭똥집이 많이 남아서 어떻게 할까 늘 고민스러웠던 사장이 어느 날 우연히 닭똥집을 튀겨서 서비스로 내어놓기 시작했는데, 의외로 손님들의 호응이 좋았던 것이다. 서비스로 시작한 닭똥집 요리가 값싸고 맛있기로 알음알음 소문이 나기 시작했다. 그 후 닭똥집, 튀김닭, 양념닭, 찜닭, 닭발 등 닭튀김 요리가 본격적으로 나오면서 술을 곁들이는 대구 스타일의 닭똥집 골목까지 등장하게 되었다.",053-956-8413,,농·축·수산물,,,1975년,,점포마다 다름,,주차 가능,,없음,없음,가능,,
